pv parameters:
R = 8000
N = 256
Nw = 256
D = 2
I = 1
P = 1
Np = 0
synt = 0
436=0.055s (0.0222)/218=0.027s (0.000484)
438=0.055s (0.0461)/219=0.027s (0.00921)
440=0.055s (0.0725)/220=0.028s (-0.0149)
442=0.055s (0.0803)/221=0.028s (-0.0298)
444=0.056s (-0.0457)/222=0.028s (-0.00803)
446=0.056s (-0.0398)/223=0.028s (-0.000648)
448=0.056s (-0.0721)/224=0.028s (-0.0237)
450=0.056s (-0.0149)/225=0.028s (-0.0194)
452=0.057s (0.0344)/226=0.028s (-0.00754)
454=0.057s (0.0578)/227=0.028s (-0.0106)
456=0.057s (0.0222)/228=0.029s (-0.0251)
458=0.057s (0.0403)/229=0.029s (-0.025)
460=0.058s (0.0461)/230=0.029s (0.0288)
462=0.058s (0.0725)/231=0.029s (-0.0029)
464=0.058s (0.129)/232=0.029s (-0.0154)
466=0.058s (0.0764)/233=0.029s (0.0161)
468=0.059s (0.0764)/234=0.029s (-0.0208)
470=0.059s (0.0222)/235=0.029s (-0.00366)
472=0.059s (-0.0398)/236=0.030s (0.0352)
474=0.059s (0.009)/237=0.030s (-0.00545)
476=0.060s (0.052)/238=0.030s (0.00223)
478=0.060s (0.0764)/239=0.030s (0.0266)
480=0.060s (0.009)/240=0.030s (0.0239)
482=0.060s (0.0154)/241=0.030s (0.0178)
484=0.061s (0.0222)/242=0.030s (0.011)
486=0.061s (0.0647)/243=0.030s (0.00636)
488=0.061s (-0.0149)/244=0.031s (-0.00482)
490=0.061s (-0.0574)/245=0.031s (-0.0228)
492=0.062s (-0.0721)/246=0.031s (-0.0342)
494=0.062s (-0.0379)/247=0.031s (-0.0206)
496=0.062s (0.009)/248=0.031s (-0.0215)
498=0.062s (-0.0149)/249=0.031s (-0.0212)
500=0.063s (-0.076)/250=0.031s (-0.0172)
502=0.063s (-0.034)/251=0.031s (-0.00674)
504=0.063s (-0.0276)/252=0.032s (0.0123)
506=0.063s (0.0222)/253=0.032s (-0.00109)
508=0.064s (0.0725)/254=0.032s (-0.0217)
510=0.064s (0.104)/255=0.032s (-0.0288)
512=0.064s (0.092)/256=0.032s (-0.00441)
514=0.064s (0.153)/257=0.032s (-0.00932)
516=0.065s (0.153)/258=0.032s (0.0127)
518=0.065s (0.028)/259=0.032s (0.036)
520=0.065s (0.0344)/260=0.033s (0.0379)
522=0.065s (0.0578)/261=0.033s (0.048)
524=0.066s (0.129)/262=0.033s (0.0452)
526=0.066s (0.0154)/263=0.033s (0.00967)
528=0.066s (-0.0218)/264=0.033s (-0.00445)
530=0.066s (-0.16)/265=0.033s (0.00273)
532=0.067s (-0.129)/266=0.033s (-0.00983)
534=0.067s (-0.0799)/267=0.033s (-0.0609)
536=0.067s (-0.0515)/268=0.034s (-0.0331)
538=0.067s (-0.0398)/269=0.034s (-0.00756)
540=0.068s (0.0461)/270=0.034s (-0.0179)
542=0.068s (0.0403)/271=0.034s (-0.0115)
544=0.068s (-0.0398)/272=0.034s (-0.00314)
546=0.068s (-0.0574)/273=0.034s (0.0157)
548=0.069s (0.0344)/274=0.034s (0.0128)
550=0.069s (0.0647)/275=0.034s (0.0149)
552=0.069s (0.0647)/276=0.035s (0.0195)
554=0.069s (0.115)/277=0.035s (0.0214)
556=0.070s (0.129)/278=0.035s (0.0147)
558=0.070s (0.16)/279=0.035s (-0.0118)
560=0.070s (0.0725)/280=0.035s (0.0152)
562=0.070s (0.0222)/281=0.035s (0.00882)
564=0.070s (-0.0574)/282=0.035s (-0.000571)
566=0.071s (0.0154)/283=0.035s (0.0425)
568=0.071s (0.028)/284=0.036s (0.0251)
570=0.071s (0.0647)/285=0.036s (0.00702)
572=0.071s (-0.0515)/286=0.036s (0.0117)
