pv parameters:
R = 10000
N = 256
Nw = 256
D = 1
I = 2
P = 1
Np = 0
synt = 0
103=0.010s (0.000702)/206=0.021s (0.000738)
104=0.010s (-0.000763)/208=0.021s (4.45e-005)
105=0.011s (-0.00565)/210=0.021s (0.00106)
106=0.011s (-0.00662)/212=0.021s (0.00103)
107=0.011s (-0.00223)/214=0.021s (0.000925)
108=0.011s (0.00461)/216=0.022s (0.00129)
109=0.011s (0.00705)/218=0.022s (0.00109)
110=0.011s (0.00803)/220=0.022s (0.00144)
111=0.011s (0.00851)/222=0.022s (0.00117)
112=0.011s (0.00803)/224=0.022s (0.00106)
113=0.011s (0.00558)/226=0.023s (0.00122)
114=0.011s (0.0051)/228=0.023s (0.00145)
115=0.012s (0.00461)/230=0.023s (0.000719)
116=0.012s (0.00266)/232=0.023s (0.00106)
117=0.012s (-0.000275)/234=0.023s (0.00121)
118=0.012s (-0.0032)/236=0.024s (0.000895)
119=0.012s (-0.00516)/238=0.024s (0.00133)
120=0.012s (-0.0076)/240=0.024s (0.0013)
121=0.012s (-0.00809)/242=0.024s (0.00123)
122=0.012s (-0.00809)/244=0.024s (0.00133)
123=0.012s (-0.00809)/246=0.025s (0.00122)
124=0.012s (-0.00809)/248=0.025s (0.00108)
125=0.013s (-0.00711)/250=0.025s (0.00106)
126=0.013s (-0.00613)/252=0.025s (0.000982)
127=0.013s (-0.00613)/254=0.025s (0.000886)
128=0.013s (-0.00516)/256=0.026s (0.00119)
129=0.013s (-0.00369)/258=0.026s (0.0005)
130=0.013s (-0.00223)/260=0.026s (0.000887)
131=0.013s (-0.00223)/262=0.026s (0.000991)
132=0.013s (-0.00223)/264=0.026s (0.000671)
133=0.013s (-0.00174)/266=0.027s (0.000776)
134=0.013s (-0.000763)/268=0.027s (0.000571)
135=0.014s (-0.000275)/270=0.027s (0.00115)
136=0.014s (-0.000275)/272=0.027s (0.00051)
137=0.014s (-0.000275)/274=0.027s (0.00065)
138=0.014s (-0.000275)/276=0.028s (0.000574)
139=0.014s (-0.000275)/278=0.028s (0.000754)
140=0.014s (0)/280=0.028s (0.000636)
141=0.014s (0.00119)/282=0.028s (0.00072)
142=0.014s (0.00119)/284=0.028s (0.00111)
143=0.014s (0)/286=0.029s (0.000734)
144=0.014s (-0.000275)/288=0.029s (0.000861)
145=0.015s (-0.000275)/290=0.029s (0.00084)
146=0.015s (-0.00125)/292=0.029s (0.000642)
147=0.015s (-0.000763)/294=0.029s (0.000911)
148=0.015s (-0.000275)/296=0.030s (0.00115)
149=0.015s (-0.00125)/298=0.030s (0.000887)
150=0.015s (-0.00174)/300=0.030s (0.0011)
151=0.015s (-0.00174)/302=0.030s (0.00086)
152=0.015s (-0.00174)/304=0.030s (0.00117)
153=0.015s (-0.00174)/306=0.031s (0.00138)
154=0.015s (-0.00223)/308=0.031s (0.000997)
155=0.016s (-0.00223)/310=0.031s (0.00113)
156=0.016s (-0.00272)/312=0.031s (0.00142)
157=0.016s (-0.0032)/314=0.031s (0.000989)
158=0.016s (-0.0032)/316=0.032s (0.000928)
159=0.016s (-0.00272)/318=0.032s (0.00108)
160=0.016s (-0.0032)/320=0.032s (0.00077)
161=0.016s (-0.00369)/322=0.032s (0.00101)
162=0.016s (-0.00369)/324=0.032s (0.000642)
163=0.016s (-0.00467)/326=0.033s (0.000743)
164=0.016s (-0.00418)/328=0.033s (0.000873)
165=0.017s (-0.0032)/330=0.033s (0.000289)
166=0.017s (-0.00272)/332=0.033s (0.000671)
167=0.017s (-0.0032)/334=0.033s (0.000934)
168=0.017s (-0.00369)/336=0.034s (0.000415)
169=0.017s (-0.00272)/338=0.034s (0.000386)
170=0.017s (-0.000763)/340=0.034s (0.000789)
171=0.017s (-0.000275)/342=0.034s (0.000202)
172=0.017s (0)/344=0.034s (0.00042)
173=0.017s (0.00119)/346=0.035s (0.000676)
174=0.017s (0.00168)/348=0.035s (0.000737)
175=0.018s (0.00168)/350=0.035s (0.000612)
176=0.018s (0.00168)/352=0.035s (0.000799)
177=0.018s (0.00119)/354=0.035s (0.000668)
178=0.018s (0.000702)/356=0.036s (0.000762)
179=0.018s (0.00119)/358=0.036s (0.00059)
180=0.018s (0.00217)/360=0.036s (0.000677)
181=0.018s (0.00266)/362=0.036s (0.000734)
182=0.018s (0.00217)/364=0.036s (0.000908)
183=0.018s (0.00266)/366=0.037s (0.000758)
184=0.018s (0.00314)/368=0.037s (0.00109)
185=0.019s (0.00217)/370=0.037s (0.00125)
186=0.019s (0.000702)/372=0.037s (0.00068)
187=0.019s (0.000702)/374=0.037s (0.00099)
188=0.019s (0.00168)/376=0.038s (0.000322)
189=0.019s (0.00168)/378=0.038s (0.000538)
190=0.019s (0.000702)/380=0.038s (0.000284)
191=0.019s (0.000702)/382=0.038s (0.000997)
192=0.019s (0.00119)/384=0.038s (0.00102)
193=0.019s (0)/386=0.039s (0.000917)
